Time_Segment,Week_day,Holiday,Vacation_week,Weekend Return,Exceeds Threshold
6-10,Wednesday,No,0,No,0
10-14,Wednesday,No,0,No,1
14-18,Wednesday,No,0,No,1
18-22,Wednesday,No,0,No,1
22-2,Wednesday,No,0,No,1
2-6,Thursday,No,0,No,0
6-10,Thursday,No,0,No,1
10-14,Thursday,No,0,No,0
14-18,Thursday,No,0,No,1
18-22,Thursday,No,0,No,1
22-2,Thursday,No,0,No,0
2-6,Friday,No,0,No,0
6-10,Friday,No,0,No,1
10-14,Friday,No,0,No,0
14-18,Friday,No,0,No,1
18-22,Friday,No,0,No,1
22-2,Friday,No,0,No,0
2-6,Saturday,Yes,0,No,0
6-10,Saturday,Yes,0,No,0
10-14,Saturday,Yes,0,No,1
14-18,Saturday,Yes,0,No,1
18-22,Saturday,Yes,0,No,1
22-2,Saturday,Yes,0,No,0
2-6,Sunday,Yes,0,Yes,0
6-10,Sunday,Yes,0,Yes,0
10-14,Sunday,Yes,0,Yes,0
14-18,Sunday,Yes,0,Yes,0
18-22,Sunday,Yes,0,Yes,0
22-2,Sunday,Yes,0,Yes,0
2-6,Monday,No,0,No,0
6-10,Monday,No,0,No,1
10-14,Monday,No,0,No,1
14-18,Monday,No,0,No,1
18-22,Monday,No,0,No,0
22-2,Monday,No,0,No,0
2-6,Tuesday,No,0,No,0
6-10,Tuesday,No,0,No,1
10-14,Tuesday,No,0,No,1
14-18,Tuesday,No,0,No,1
18-22,Tuesday,No,0,No,0
22-2,Tuesday,No,0,No,0
2-6,Wednesday,No,0,No,0
6-10,Wednesday,No,0,No,1
10-14,Wednesday,No,0,No,1
14-18,Wednesday,No,0,No,1
18-22,Wednesday,No,0,No,1
22-2,Wednesday,No,0,No,0
2-6,Thursday,No,0,No,0
6-10,Thursday,No,0,No,1
10-14,Thursday,No,0,No,1
14-18,Thursday,No,0,No,0
18-22,Thursday,No,0,No,1
22-2,Thursday,No,0,No,1
2-6,Friday,No,0,No,0
6-10,Friday,No,0,No,0
10-14,Friday,No,0,No,1
14-18,Friday,No,0,No,1
18-22,Friday,No,0,No,1
22-2,Friday,No,0,No,0
2-6,Saturday,Yes,0,No,0
6-10,Saturday,Yes,0,No,1
10-14,Saturday,Yes,0,No,0
14-18,Saturday,Yes,0,No,0
18-22,Saturday,Yes,0,No,1
22-2,Saturday,Yes,0,No,1
2-6,Sunday,Yes,0,Yes,0
6-10,Sunday,Yes,0,Yes,0
10-14,Sunday,Yes,0,Yes,1
14-18,Sunday,Yes,0,Yes,0
18-22,Sunday,Yes,0,Yes,0
22-2,Sunday,Yes,0,Yes,0
2-6,Monday,No,0,No,0
6-10,Monday,No,0,No,0
10-14,Monday,No,0,No,0
14-18,Monday,No,0,No,1
18-22,Monday,No,0,No,0
22-2,Monday,No,0,No,0
2-6,Tuesday,No,0,No,0
6-10,Tuesday,No,0,No,1
10-14,Tuesday,No,0,No,1
14-18,Tuesday,No,0,No,1
18-22,Tuesday,No,0,No,1
22-2,Tuesday,No,0,No,1
2-6,Wednesday,No,0,No,0
6-10,Wednesday,No,0,No,0
10-14,Wednesday,No,0,No,1
14-18,Wednesday,No,0,No,1
18-22,Wednesday,No,0,No,1
22-2,Wednesday,No,0,No,0
2-6,Thursday,No,0,No,0
6-10,Thursday,No,0,No,1
10-14,Thursday,No,0,No,1
14-18,Thursday,No,0,No,0
18-22,Thursday,No,0,No,1
22-2,Thursday,No,0,No,0
2-6,Friday,No,0,No,0
6-10,Friday,No,0,No,1
10-14,Friday,No,0,No,1
14-18,Friday,No,0,No,1
18-22,Friday,No,0,No,1
22-2,Friday,No,0,No,0
2-6,Saturday,Yes,0,No,0
6-10,Saturday,Yes,0,No,1
10-14,Saturday,Yes,0,No,0
14-18,Saturday,Yes,0,No,1
18-22,Saturday,Yes,0,No,1
22-2,Saturday,Yes,0,No,0
2-6,Sunday,Yes,0,Yes,0
6-10,Sunday,Yes,0,Yes,1
10-14,Sunday,Yes,0,Yes,1
14-18,Sunday,Yes,0,Yes,1
18-22,Sunday,Yes,0,Yes,1
22-2,Sunday,Yes,0,Yes,1
2-6,Monday,No,0,No,0
6-10,Monday,No,0,No,1
10-14,Monday,No,0,No,1
14-18,Monday,No,0,No,1
18-22,Monday,No,0,No,1
22-2,Monday,No,0,No,0
2-6,Tuesday,No,0,No,0
6-10,Tuesday,No,0,No,1
10-14,Tuesday,No,0,No,1
14-18,Tuesday,No,0,No,1
18-22,Tuesday,No,0,No,1
22-2,Tuesday,No,0,No,0
2-6,Wednesday,No,0,No,0
6-10,Wednesday,No,0,No,0
10-14,Wednesday,No,0,No,1
14-18,Wednesday,No,0,No,1
18-22,Wednesday,No,0,No,1
22-2,Wednesday,No,0,No,0
2-6,Thursday,No,0,No,0
6-10,Thursday,No,0,No,1
10-14,Thursday,No,0,No,1
14-18,Thursday,No,0,No,1
18-22,Thursday,No,0,No,1
22-2,Thursday,No,0,No,0
2-6,Friday,No,0,No,0
6-10,Friday,No,0,No,1
10-14,Friday,No,0,No,1
14-18,Friday,No,0,No,1
18-22,Friday,No,0,No,1
22-2,Friday,No,0,No,1
2-6,Saturday,Yes,0,No,0
6-10,Saturday,Yes,0,No,0
10-14,Saturday,Yes,0,No,0
14-18,Saturday,Yes,0,No,0
18-22,Saturday,Yes,0,No,0
22-2,Saturday,Yes,0,No,0
2-6,Sunday,Yes,0,Yes,0
6-10,Sunday,Yes,0,Yes,0
10-14,Sunday,Yes,0,Yes,1
14-18,Sunday,Yes,0,Yes,1
18-22,Sunday,Yes,0,Yes,0
22-2,Sunday,Yes,0,Yes,1
2-6,Monday,No,0,No,0
6-10,Monday,No,0,No,1
10-14,Monday,No,0,No,1
14-18,Monday,No,0,No,1
18-22,Monday,No,0,No,0
22-2,Monday,No,0,No,0
2-6,Tuesday,No,0,No,0
6-10,Tuesday,No,0,No,1
10-14,Tuesday,No,0,No,1
14-18,Tuesday,No,0,No,1
18-22,Tuesday,No,0,No,1
22-2,Tuesday,No,0,No,0
2-6,Wednesday,No,0,No,0
6-10,Wednesday,No,0,No,1
10-14,Wednesday,No,0,No,1
14-18,Wednesday,No,0,No,1
18-22,Wednesday,No,0,No,1
22-2,Wednesday,No,0,No,0
2-6,Thursday,No,0,No,0
6-10,Thursday,No,0,No,1
10-14,Thursday,No,0,No,0
14-18,Thursday,No,0,No,1
18-22,Thursday,No,0,No,0
22-2,Thursday,No,0,No,0
2-6,Friday,No,0,No,0
6-10,Friday,No,0,No,1
10-14,Friday,No,0,No,1
14-18,Friday,No,0,No,1
18-22,Friday,No,0,No,1
22-2,Friday,No,0,No,0
2-6,Saturday,Yes,0,No,0
6-10,Saturday,Yes,0,No,0
10-14,Saturday,Yes,0,No,1
14-18,Saturday,Yes,0,No,1
18-22,Saturday,Yes,0,No,1
22-2,Saturday,Yes,0,No,1
2-6,Sunday,Yes,0,Yes,0
6-10,Sunday,Yes,0,Yes,0
10-14,Sunday,Yes,0,Yes,1
14-18,Sunday,Yes,0,Yes,1
18-22,Sunday,Yes,0,Yes,0
22-2,Sunday,Yes,0,Yes,0
2-6,Monday,No,0,No,0
6-10,Monday,No,0,No,0
10-14,Monday,No,0,No,0
14-18,Monday,No,0,No,1
18-22,Monday,No,0,No,1
22-2,Monday,No,0,No,0
2-6,Tuesday,No,0,No,0
6-10,Tuesday,No,0,No,1
10-14,Tuesday,No,0,No,1
14-18,Tuesday,No,0,No,1
18-22,Tuesday,No,0,No,0
22-2,Tuesday,No,0,No,0
2-6,Wednesday,No,0,No,0
6-10,Wednesday,No,0,No,1
10-14,Wednesday,No,0,No,1
14-18,Wednesday,No,0,No,1
18-22,Wednesday,No,0,No,1
22-2,Wednesday,No,0,No,0
2-6,Thursday,No,0,No,0
6-10,Thursday,No,0,No,0
10-14,Thursday,No,0,No,1
14-18,Thursday,No,0,No,1
18-22,Thursday,No,0,No,1
22-2,Thursday,No,0,No,0
2-6,Friday,No,0,No,0
6-10,Friday,No,0,No,1
10-14,Friday,No,0,No,0
14-18,Friday,No,0,No,1
18-22,Friday,No,0,No,1
22-2,Friday,No,0,No,0
2-6,Saturday,Yes,0,No,0
6-10,Saturday,Yes,0,No,0
10-14,Saturday,Yes,0,No,1
14-18,Saturday,Yes,0,No,1
18-22,Saturday,Yes,0,No,1
22-2,Saturday,Yes,0,No,0
2-6,Sunday,Yes,0,Yes,0
6-10,Sunday,Yes,0,Yes,1
10-14,Sunday,Yes,0,Yes,1
14-18,Sunday,Yes,0,Yes,1
18-22,Sunday,Yes,0,Yes,0
22-2,Sunday,Yes,0,Yes,1
2-6,Monday,No,0,No,0
6-10,Monday,No,0,No,1
10-14,Monday,No,0,No,1
14-18,Monday,No,0,No,1
18-22,Monday,No,0,No,1
22-2,Monday,No,0,No,0
2-6,Tuesday,No,0,No,0
6-10,Tuesday,No,0,No,0
10-14,Tuesday,No,0,No,1
14-18,Tuesday,No,0,No,1
18-22,Tuesday,No,0,No,1
22-2,Tuesday,No,0,No,1
2-6,Wednesday,No,0,No,0
6-10,Wednesday,No,0,No,1
10-14,Wednesday,No,0,No,1
14-18,Wednesday,No,0,No,1
18-22,Wednesday,No,0,No,0
22-2,Wednesday,No,0,No,0
2-6,Thursday,No,0,No,0
6-10,Thursday,No,0,No,1
10-14,Thursday,No,0,No,1
14-18,Thursday,No,0,No,0
18-22,Thursday,No,0,No,0
22-2,Thursday,No,0,No,0
2-6,Friday,No,0,No,0
6-10,Friday,No,0,No,1
10-14,Friday,No,0,No,0
14-18,Friday,No,0,No,0
18-22,Friday,No,0,No,1
22-2,Friday,No,0,No,0
2-6,Saturday,Yes,0,No,0
6-10,Saturday,Yes,0,No,1
10-14,Saturday,Yes,0,No,1
14-18,Saturday,Yes,0,No,1
18-22,Saturday,Yes,0,No,0
22-2,Saturday,Yes,0,No,0
2-6,Sunday,Yes,0,Yes,0
6-10,Sunday,Yes,0,Yes,0
10-14,Sunday,Yes,0,Yes,0
14-18,Sunday,Yes,0,Yes,0
18-22,Sunday,Yes,0,Yes,0
22-2,Sunday,Yes,0,Yes,0
2-6,Monday,No,0,No,0
6-10,Monday,No,0,No,1
10-14,Monday,No,0,No,1
14-18,Monday,No,0,No,1
18-22,Monday,No,0,No,0
22-2,Monday,No,0,No,0
2-6,Tuesday,No,0,No,0
6-10,Tuesday,No,0,No,0
10-14,Tuesday,No,0,No,1
14-18,Tuesday,No,0,No,1
18-22,Tuesday,No,0,No,1
22-2,Tuesday,No,0,No,0
2-6,Wednesday,No,0,No,0
6-10,Wednesday,No,0,No,1
10-14,Wednesday,No,0,No,0
14-18,Wednesday,No,0,No,1
18-22,Wednesday,No,0,No,0
22-2,Wednesday,No,0,No,0
2-6,Thursday,No,0,No,0
6-10,Thursday,No,0,No,0
10-14,Thursday,No,0,No,1
14-18,Thursday,No,0,No,1
18-22,Thursday,No,0,No,1
22-2,Thursday,No,0,No,0
2-6,Friday,No,0,No,0
6-10,Friday,No,0,No,1
10-14,Friday,No,0,No,1
14-18,Friday,No,0,No,1
18-22,Friday,No,0,No,0
22-2,Friday,No,0,No,0
2-6,Saturday,Yes,0,No,0
6-10,Saturday,Yes,0,No,0
10-14,Saturday,Yes,0,No,0
14-18,Saturday,Yes,0,No,0
18-22,Saturday,Yes,0,No,1
22-2,Saturday,Yes,0,No,0
2-6,Sunday,Yes,0,Yes,0
6-10,Sunday,Yes,0,Yes,0
10-14,Sunday,Yes,0,Yes,0
14-18,Sunday,Yes,0,Yes,1
18-22,Sunday,Yes,0,Yes,1
22-2,Sunday,Yes,0,Yes,0
2-6,Monday,No,0,No,0
6-10,Monday,No,0,No,0
10-14,Monday,No,0,No,1
14-18,Monday,No,0,No,0
18-22,Monday,No,0,No,1
22-2,Monday,No,0,No,0
2-6,Tuesday,No,0,No,0
6-10,Tuesday,No,0,No,0
10-14,Tuesday,No,0,No,1
14-18,Tuesday,No,0,No,0
18-22,Tuesday,No,0,No,1
22-2,Tuesday,No,0,No,0
2-6,Wednesday,No,0,No,0
6-10,Wednesday,No,0,No,0
10-14,Wednesday,No,0,No,1
14-18,Wednesday,No,0,No,0
18-22,Wednesday,No,0,No,1
22-2,Wednesday,No,0,No,0
2-6,Thursday,No,0,No,0
6-10,Thursday,No,0,No,0
10-14,Thursday,No,0,No,0
14-18,Thursday,No,0,No,1
18-22,Thursday,No,0,No,1
22-2,Thursday,No,0,No,0
2-6,Friday,No,0,No,0
6-10,Friday,No,0,No,1
10-14,Friday,No,0,No,1
14-18,Friday,No,0,No,1
18-22,Friday,No,0,No,1
22-2,Friday,No,0,No,1
2-6,Saturday,Yes,0,No,0
6-10,Saturday,Yes,0,No,0
10-14,Saturday,Yes,0,No,0
14-18,Saturday,Yes,0,No,1
18-22,Saturday,Yes,0,No,0
22-2,Saturday,Yes,0,No,0
2-6,Sunday,Yes,0,Yes,0
6-10,Sunday,Yes,0,Yes,0
10-14,Sunday,Yes,0,Yes,0
14-18,Sunday,Yes,0,Yes,1
18-22,Sunday,Yes,0,Yes,0
22-2,Sunday,Yes,0,Yes,1
2-6,Monday,No,1,No,0
6-10,Monday,No,1,No,1
10-14,Monday,No,1,No,1
14-18,Monday,No,1,No,1
18-22,Monday,No,1,No,0
22-2,Monday,No,1,No,0
2-6,Tuesday,No,1,No,0
6-10,Tuesday,No,1,No,0
10-14,Tuesday,No,1,No,0
14-18,Tuesday,No,1,No,1
18-22,Tuesday,No,1,No,1
22-2,Tuesday,No,1,No,1
2-6,Wednesday,No,1,No,0
6-10,Wednesday,No,1,No,1
10-14,Wednesday,No,1,No,1
14-18,Wednesday,No,1,No,1
18-22,Wednesday,No,1,No,1
22-2,Wednesday,No,1,No,0
2-6,Thursday,No,1,No,0
6-10,Thursday,No,1,No,1
10-14,Thursday,No,1,No,1
14-18,Thursday,No,1,No,1
18-22,Thursday,No,1,No,1
22-2,Thursday,No,1,No,0
2-6,Friday,No,1,No,0
6-10,Friday,No,1,No,1
10-14,Friday,No,1,No,1
14-18,Friday,No,1,No,1
18-22,Friday,No,1,No,1
22-2,Friday,No,1,No,0
2-6,Saturday,Yes,1,No,0
6-10,Saturday,Yes,1,No,1
10-14,Saturday,Yes,1,No,1
14-18,Saturday,Yes,1,No,1
18-22,Saturday,Yes,1,No,1
22-2,Saturday,Yes,1,No,0
2-6,Sunday,Yes,1,Yes,0
6-10,Sunday,Yes,1,Yes,0
10-14,Sunday,Yes,1,Yes,0
14-18,Sunday,Yes,1,Yes,0
18-22,Sunday,Yes,1,Yes,1
22-2,Sunday,Yes,1,Yes,1
2-6,Monday,No,1,No,0
6-10,Monday,No,1,No,1
10-14,Monday,No,1,No,0
14-18,Monday,No,1,No,1
18-22,Monday,No,1,No,1
22-2,Monday,No,1,No,0
2-6,Tuesday,No,1,No,0
6-10,Tuesday,No,1,No,1
10-14,Tuesday,No,1,No,1
14-18,Tuesday,No,1,No,1
18-22,Tuesday,No,1,No,1
22-2,Tuesday,No,1,No,0
2-6,Wednesday,No,1,No,0
6-10,Wednesday,No,1,No,1
10-14,Wednesday,No,1,No,1
14-18,Wednesday,No,1,No,1
18-22,Wednesday,No,1,No,0
22-2,Wednesday,No,1,No,0
2-6,Thursday,No,1,No,0
6-10,Thursday,No,1,No,0
10-14,Thursday,No,1,No,1
14-18,Thursday,No,1,No,1
18-22,Thursday,No,1,No,1
22-2,Thursday,No,1,No,1
2-6,Friday,No,1,No,0
6-10,Friday,No,1,No,0
10-14,Friday,No,1,No,1
14-18,Friday,No,1,No,1
18-22,Friday,No,1,No,1
22-2,Friday,No,1,No,1
2-6,Saturday,Yes,1,No,0
6-10,Saturday,Yes,1,No,0
10-14,Saturday,Yes,1,No,1
14-18,Saturday,Yes,1,No,1
18-22,Saturday,Yes,1,No,0
22-2,Saturday,Yes,1,No,0
2-6,Sunday,Yes,1,Yes,0
6-10,Sunday,Yes,1,Yes,0
10-14,Sunday,Yes,1,Yes,0
14-18,Sunday,Yes,1,Yes,0
18-22,Sunday,Yes,1,Yes,1
22-2,Sunday,Yes,1,Yes,0
2-6,Monday,No,1,No,0
6-10,Monday,No,1,No,0
10-14,Monday,No,1,No,1
14-18,Monday,No,1,No,1
18-22,Monday,No,1,No,0
22-2,Monday,No,1,No,0
2-6,Tuesday,No,1,No,0
6-10,Tuesday,No,1,No,0
10-14,Tuesday,No,1,No,0
14-18,Tuesday,No,1,No,1
18-22,Tuesday,No,1,No,1
22-2,Tuesday,No,1,No,0
2-6,Wednesday,No,1,No,0
6-10,Wednesday,No,1,No,0
10-14,Wednesday,No,1,No,0
14-18,Wednesday,No,1,No,0
18-22,Wednesday,No,1,No,1
22-2,Wednesday,No,1,No,0
2-6,Thursday,No,1,No,0
6-10,Thursday,No,1,No,0
10-14,Thursday,No,1,No,0
14-18,Thursday,No,1,No,1
18-22,Thursday,No,1,No,1
22-2,Thursday,No,1,No,0
2-6,Friday,No,1,No,0
6-10,Friday,No,1,No,0
10-14,Friday,No,1,No,0
14-18,Friday,No,1,No,1
18-22,Friday,No,1,No,0
22-2,Friday,No,1,No,0
2-6,Saturday,Yes,1,No,0
6-10,Saturday,Yes,1,No,0
10-14,Saturday,Yes,1,No,1
14-18,Saturday,Yes,1,No,0
18-22,Saturday,Yes,1,No,1
22-2,Saturday,Yes,1,No,1
2-6,Sunday,Yes,1,Yes,0
6-10,Sunday,Yes,1,Yes,0
10-14,Sunday,Yes,1,Yes,1
14-18,Sunday,Yes,1,Yes,0
18-22,Sunday,Yes,1,Yes,1
22-2,Sunday,Yes,1,Yes,1
2-6,Monday,No,1,No,0
6-10,Monday,No,1,No,0
10-14,Monday,No,1,No,0
14-18,Monday,No,1,No,1
18-22,Monday,No,1,No,0
22-2,Monday,No,1,No,0
2-6,Tuesday,No,1,No,0
6-10,Tuesday,No,1,No,0
10-14,Tuesday,No,1,No,1
14-18,Tuesday,No,1,No,1
18-22,Tuesday,No,1,No,1
22-2,Tuesday,No,1,No,0
2-6,Wednesday,No,1,No,0
6-10,Wednesday,No,1,No,0
10-14,Wednesday,No,1,No,1
14-18,Wednesday,No,1,No,1
18-22,Wednesday,No,1,No,1
22-2,Wednesday,No,1,No,1
2-6,Thursday,No,1,No,0
6-10,Thursday,No,1,No,0
10-14,Thursday,No,1,No,0
14-18,Thursday,No,1,No,1
18-22,Thursday,No,1,No,1
22-2,Thursday,No,1,No,1
2-6,Friday,No,1,No,0
6-10,Friday,No,1,No,0
10-14,Friday,No,1,No,0
14-18,Friday,No,1,No,1
18-22,Friday,No,1,No,1
22-2,Friday,No,1,No,1
2-6,Saturday,Yes,1,No,0
6-10,Saturday,Yes,1,No,0
10-14,Saturday,Yes,1,No,0
14-18,Saturday,Yes,1,No,0
18-22,Saturday,Yes,1,No,1
22-2,Saturday,Yes,1,No,0
2-6,Sunday,Yes,1,Yes,0
6-10,Sunday,Yes,1,Yes,0
10-14,Sunday,Yes,1,Yes,1
14-18,Sunday,Yes,1,Yes,0
18-22,Sunday,Yes,1,Yes,1
22-2,Sunday,Yes,1,Yes,0
2-6,Monday,No,1,No,0
6-10,Monday,No,1,No,1
10-14,Monday,No,1,No,1
14-18,Monday,No,1,No,1
18-22,Monday,No,1,No,1
22-2,Monday,No,1,No,0
2-6,Tuesday,No,1,No,0
6-10,Tuesday,No,1,No,1
10-14,Tuesday,No,1,No,0
14-18,Tuesday,No,1,No,1
18-22,Tuesday,No,1,No,1
22-2,Tuesday,No,1,No,0
2-6,Wednesday,No,1,No,0
6-10,Wednesday,No,1,No,0
10-14,Wednesday,No,1,No,0
14-18,Wednesday,No,1,No,1
18-22,Wednesday,No,1,No,0
22-2,Wednesday,No,1,No,0
2-6,Thursday,No,1,No,0
6-10,Thursday,No,1,No,1
10-14,Thursday,No,1,No,1
14-18,Thursday,No,1,No,1
18-22,Thursday,No,1,No,0
22-2,Thursday,No,1,No,0
2-6,Friday,No,1,No,0
6-10,Friday,No,1,No,0
10-14,Friday,No,1,No,0
14-18,Friday,No,1,No,1
18-22,Friday,No,1,No,1
22-2,Friday,No,1,No,1
2-6,Saturday,Yes,1,No,0
6-10,Saturday,Yes,1,No,0
10-14,Saturday,Yes,1,No,1
14-18,Saturday,Yes,1,No,0
18-22,Saturday,Yes,1,No,1
22-2,Saturday,Yes,1,No,1
2-6,Sunday,Yes,1,Yes,0
6-10,Sunday,Yes,1,Yes,0
10-14,Sunday,Yes,1,Yes,1
14-18,Sunday,Yes,1,Yes,0
18-22,Sunday,Yes,1,Yes,1
22-2,Sunday,Yes,1,Yes,0
2-6,Monday,No,0,No,0
6-10,Monday,No,0,No,1
10-14,Monday,No,0,No,1
14-18,Monday,No,0,No,1
18-22,Monday,No,0,No,1
22-2,Monday,No,0,No,0
2-6,Tuesday,No,0,No,0
6-10,Tuesday,No,0,No,1
10-14,Tuesday,No,0,No,1
14-18,Tuesday,No,0,No,1
18-22,Tuesday,No,0,No,1
22-2,Tuesday,No,0,No,0
2-6,Wednesday,No,0,No,0
6-10,Wednesday,No,0,No,0
10-14,Wednesday,No,0,No,0
14-18,Wednesday,No,0,No,1
18-22,Wednesday,No,0,No,1
22-2,Wednesday,No,0,No,1
2-6,Thursday,No,0,No,0
6-10,Thursday,No,0,No,1
10-14,Thursday,No,0,No,1
14-18,Thursday,No,0,No,1
18-22,Thursday,No,0,No,1
22-2,Thursday,No,0,No,0
2-6,Friday,No,0,No,0
6-10,Friday,No,0,No,0
10-14,Friday,No,0,No,1
14-18,Friday,No,0,No,1
18-22,Friday,No,0,No,1
22-2,Friday,No,0,No,0
2-6,Saturday,Yes,0,No,0
6-10,Saturday,Yes,0,No,1
10-14,Saturday,Yes,0,No,0
14-18,Saturday,Yes,0,No,1
18-22,Saturday,Yes,0,No,1
22-2,Saturday,Yes,0,No,1
2-6,Sunday,Yes,0,Yes,0
6-10,Sunday,Yes,0,Yes,0
10-14,Sunday,Yes,0,Yes,1
14-18,Sunday,Yes,0,Yes,1
18-22,Sunday,Yes,0,Yes,0
22-2,Sunday,Yes,0,Yes,0
2-6,Monday,No,0,No,0
6-10,Monday,No,0,No,1
10-14,Monday,No,0,No,1
14-18,Monday,No,0,No,1
18-22,Monday,No,0,No,1
22-2,Monday,No,0,No,0
2-6,Tuesday,No,0,No,0
6-10,Tuesday,No,0,No,1
10-14,Tuesday,No,0,No,1
14-18,Tuesday,No,0,No,1
18-22,Tuesday,No,0,No,1
22-2,Tuesday,No,0,No,0
2-6,Wednesday,No,0,No,0
6-10,Wednesday,No,0,No,1
10-14,Wednesday,No,0,No,1
14-18,Wednesday,No,0,No,1
18-22,Wednesday,No,0,No,1
22-2,Wednesday,No,0,No,0
2-6,Thursday,No,0,No,0
6-10,Thursday,No,0,No,1
10-14,Thursday,No,0,No,1
14-18,Thursday,No,0,No,1
18-22,Thursday,No,0,No,1
22-2,Thursday,No,0,No,0
2-6,Friday,No,0,No,0
6-10,Friday,No,0,No,1
10-14,Friday,No,0,No,1
14-18,Friday,No,0,No,1
18-22,Friday,No,0,No,1
22-2,Friday,No,0,No,0
2-6,Saturday,Yes,0,No,0
6-10,Saturday,Yes,0,No,1
10-14,Saturday,Yes,0,No,1
14-18,Saturday,Yes,0,No,1
18-22,Saturday,Yes,0,No,1
22-2,Saturday,Yes,0,No,1
2-6,Sunday,Yes,0,Yes,0
6-10,Sunday,Yes,0,Yes,0
10-14,Sunday,Yes,0,Yes,0
14-18,Sunday,Yes,0,Yes,0
18-22,Sunday,Yes,0,Yes,0
22-2,Sunday,Yes,0,Yes,1
2-6,Monday,No,0,No,0
6-10,Monday,No,0,No,1
10-14,Monday,No,0,No,1
14-18,Monday,No,0,No,1
18-22,Monday,No,0,No,1
22-2,Monday,No,0,No,0
2-6,Tuesday,No,0,No,0
6-10,Tuesday,No,0,No,1
10-14,Tuesday,No,0,No,1
14-18,Tuesday,No,0,No,1
18-22,Tuesday,No,0,No,1
22-2,Tuesday,No,0,No,1
2-6,Wednesday,No,0,No,0
6-10,Wednesday,No,0,No,1
10-14,Wednesday,No,0,No,1
14-18,Wednesday,No,0,No,1
18-22,Wednesday,No,0,No,1
22-2,Wednesday,No,0,No,0
2-6,Thursday,No,0,No,0
6-10,Thursday,No,0,No,0
10-14,Thursday,No,0,No,1
14-18,Thursday,No,0,No,1
18-22,Thursday,No,0,No,1
22-2,Thursday,No,0,No,0
2-6,Friday,No,0,No,0
6-10,Friday,No,0,No,0
10-14,Friday,No,0,No,1
14-18,Friday,No,0,No,1
18-22,Friday,No,0,No,1
22-2,Friday,No,0,No,0
2-6,Saturday,Yes,0,No,0
6-10,Saturday,Yes,0,No,0
10-14,Saturday,Yes,0,No,1
14-18,Saturday,Yes,0,No,0
18-22,Saturday,Yes,0,No,1
22-2,Saturday,Yes,0,No,0
2-6,Sunday,Yes,0,Yes,0
6-10,Sunday,Yes,0,Yes,0
10-14,Sunday,Yes,0,Yes,1
14-18,Sunday,Yes,0,Yes,1
18-22,Sunday,Yes,0,Yes,1
22-2,Sunday,Yes,0,Yes,0
2-6,Monday,No,1,No,0
6-10,Monday,No,1,No,1
10-14,Monday,No,1,No,1
14-18,Monday,No,1,No,1
18-22,Monday,No,1,No,1
22-2,Monday,No,1,No,0
2-6,Tuesday,No,1,No,0
6-10,Tuesday,No,1,No,0
10-14,Tuesday,No,1,No,1
14-18,Tuesday,No,1,No,1
18-22,Tuesday,No,1,No,1
22-2,Tuesday,No,1,No,0
2-6,Wednesday,No,1,No,0
6-10,Wednesday,No,1,No,1
10-14,Wednesday,No,1,No,1
14-18,Wednesday,No,1,No,1
18-22,Wednesday,No,1,No,1
22-2,Wednesday,No,1,No,0
2-6,Thursday,No,1,No,0
6-10,Thursday,No,1,No,1
10-14,Thursday,No,1,No,1
14-18,Thursday,No,1,No,1
18-22,Thursday,No,1,No,1
22-2,Thursday,No,1,No,0
2-6,Friday,No,1,No,0
6-10,Friday,No,1,No,1
10-14,Friday,No,1,No,1
14-18,Friday,No,1,No,1
18-22,Friday,No,1,No,1
22-2,Friday,No,1,No,0
2-6,Saturday,Yes,1,No,0
6-10,Saturday,Yes,1,No,0
10-14,Saturday,Yes,1,No,1
14-18,Saturday,Yes,1,No,1
18-22,Saturday,Yes,1,No,1
22-2,Saturday,Yes,1,No,1
2-6,Sunday,Yes,1,Yes,0
6-10,Sunday,Yes,1,Yes,0
10-14,Sunday,Yes,1,Yes,0
14-18,Sunday,Yes,1,Yes,1
18-22,Sunday,Yes,1,Yes,1
22-2,Sunday,Yes,1,Yes,0
2-6,Monday,No,0,No,0
6-10,Monday,No,0,No,0
10-14,Monday,No,0,No,1
14-18,Monday,No,0,No,1
18-22,Monday,No,0,No,1
22-2,Monday,No,0,No,0
2-6,Tuesday,No,0,No,0
6-10,Tuesday,No,0,No,1
10-14,Tuesday,No,0,No,0
14-18,Tuesday,No,0,No,1
18-22,Tuesday,No,0,No,0
22-2,Tuesday,No,0,No,0
2-6,Wednesday,No,0,No,0
6-10,Wednesday,No,0,No,1
10-14,Wednesday,No,0,No,1
14-18,Wednesday,No,0,No,0
18-22,Wednesday,No,0,No,1
22-2,Wednesday,No,0,No,0
2-6,Thursday,No,0,No,0
6-10,Thursday,No,0,No,1
10-14,Thursday,No,0,No,1
14-18,Thursday,No,0,No,1
18-22,Thursday,No,0,No,1
22-2,Thursday,No,0,No,0
2-6,Friday,No,0,No,0
6-10,Friday,No,0,No,1
10-14,Friday,No,0,No,1
14-18,Friday,No,0,No,1
18-22,Friday,No,0,No,1
22-2,Friday,No,0,No,0
2-6,Saturday,Yes,0,No,0
6-10,Saturday,Yes,0,No,0
10-14,Saturday,Yes,0,No,0
14-18,Saturday,Yes,0,No,1
18-22,Saturday,Yes,0,No,1
22-2,Saturday,Yes,0,No,0
2-6,Sunday,Yes,0,Yes,0
6-10,Sunday,Yes,0,Yes,0
